"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Infants","","","","","","","","",""
"0–6 mo NDe","","ND","ND","ND","ND","0.7","ND","40","ND"
"7–12 mo ND","","ND","ND","ND","ND","0.9","ND","40","ND"
"Children","","","","","","","","",""
"1–3 y ND","","3","2.5","ND","1,000","1.3","200","40","65"
"4–8 y ND","","6","2.5","ND","3,000","2.2","300","40","110"
"Males, Females","","","","","","","","",""
"9–13 y ND","","11","2.5","ND","5,000","10","600","40","350"
"14–18 y ND","","17","2.5","ND","8,000","10","900","45","350"
"19–70 y ND","","20","2.5","ND","10,000","10","1,100","45","350"
"> 70 y ND","","20","2.5","ND","10,000","10","1,100","45","350"
"Pregnancy","","","","","","","","",""
"14–18 y ND","","17","2.5","ND","8,000","10","900","45","350"
"19–50 y ND","","20","2.5","ND","10,000","10","1,100","45","350"
"Lactation","","","","","","","","",""
"14–18 y ND","","17","2.5","ND","8,000","10","900","45","350"
"19–50 y ND","","20","2.5","ND","10,000","10","1,100","45","350"
