"V1","V2","V3","V4","V5","V6","V7","V8"
"Life Stage","Calcium","Chromium","Copper","Fluoride","Iodine","Iron","Magnesium"
"Group","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)"
"Infants","","","","","","",""
"0–6 mo","210*","0.2*","200*","0.01*","110*","0.27*","30*"
"7–12 mo","270*","5.5*","220*","0.5*","130*","11","75*"
"Children","","","","","","",""
"1–3 y","500*","11*","340","0.7*","90","7","80"
"4–8 y","800*","15*","440","1*","90","10","130"
"Males","","","","","","",""
"9–13 y","1,300*","25*","700","2*","120","8","240"
"14–18 y","1,300*","35*","890","3*","150","11","410"
"19–30 y","1,000*","35*","900","4*","150","8","400"
"31–50 y","1,000*","35*","900","4*","150","8","420"
"51–70 y","1,200*","30*","900","4*","150","8","420"
"> 70 y","1,200*","30*","900","4*","150","8","420"
"Females","","","","","","",""
"9–13 y","1,300*","21*","700","2*","120","8","240"
"14–18 y","1,300*","24*","890","3*","150","15","360"
"19–30 y","1,000*","25*","900","3*","150","18","310"
"31–50 y","1,000*","25*","900","3*","150","18","320"
"51–70 y","1,200*","20*","900","3*","150","8","320"
"> 70 y","1,200*","20*","900","3*","150","8","320"
"Pregnancy","","","","","","",""
"14–18 y","1,300*","29*","1,000","3*","220","27","400"
"19–30 y","1,000*","30*","1,000","3*","220","27","350"
"31–50 y","1,000*","30*","1,000","3*","220","27","360"
"Lactation","","","","","","",""
"14–18 y","1,300*","44*","1,300","3*","290","10","360"
"19–30 y","1,000*","45*","1,300","3*","290","9","310"
"31–50 y","1,000*","45*","1,300","3*","290","9","320"
