"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"","","","","","","","","","","","Ribo-","","","","Vit","","","","Magnes-","Molyb-","Phos-","Sele-",""
"Life Stage","Calcium","CHO","Protein","Vit A","","Vit C","Vit D","Vit E","","Thiamin","flavin","Niacin","Vit B6","Folate","B12","Copper","Iodine","Iron","ium","denum","phorus","nium","Zinc"
"Group","(mg/d)","(g/d)","(g/kg/d)","(μg/d)  a","","(mg/d)","(μg/d)","(mg/d)b","","(mg/d)","(mg/d)","(mg/d)c","(mg/d)","(μg/d)d","(μg/d)","(μg/d)","(μg/d)","(mg/d)","(mg/d)","(μg/d)","(mg/d)","(μg/d)","(mg/d)"
"Infants","","","","","","","","","","","","","","","","","","","","","","",""
"0 to 6 mo","","","","","","","","","","","","","","","","","","","","","","",""
"6 to 12","","","","","","","","","","","","","","","","","","","","","","",""
"mo","","","1.0","","","","","","","","","","","","","","","6.9","","","","","2.5"
"Children","","","","","","","","","","","","","","","","","","","","","","",""
"1–3 y","500","100","0.87","210","","13","10","5","","0.4","0.4","5","0.4","120","0.7","260","65","3.0","65","13","380","17","2.5"
"4–8 y","800","100","0.76","275","","22","10","6","","0.5","0.5","6","0.5","160","1.0","340","65","4.1","110","17","405","23","4.0"
"Males","","","","","","","","","","","","","","","","","","","","","","",""
"9–13 y","1,100","100","0.76","445","","39","10","9","","0.7","0.8","9","0.8","250","1.5","540","73","5.9","200","26","1,055","35","7.0"
"14–18 y","1,100","100","0.73","630","","63","10","12","","1.0","1.1","12","1.1","330","2.0","685","95","7.7","340","33","1,055","45","8.5"
"19–30 y","800","100","0.66","625","","75","10","12","","1.0","1.1","12","1.1","320","2.0","700","95","6","330","34","580","45","9.4"
"31–50 y","800","100","0.66","625","","75","10","12","","1.0","1.1","12","1.1","320","2.0","700","95","6","350","34","580","45","9.4"
"51–70 y","800","100","0.66","625","","75","10","12","","1.0","1.1","12","1.4","320","2.0","700","95","6","350","34","580","45","9.4"
"> 70 y","1,000","100","0.66","625","","75","10","12","","1.0","1.1","12","1.4","320","2.0","700","95","6","350","34","580","45","9.4"
"Females","","","","","","","","","","","","","","","","","","","","","","",""
"9–13 y","1,100","100","0.76","420","","39","10","9","","0.7","0.8","9","0.8","250","1.5","540","73","5.7","200","26","1,055","35","7.0"
"14–18 y","1,100","100","0.71","485","","56","10","12","","0.9","0.9","11","1.0","330","2.0","685","95","7.9","300","33","1,055","45","7.3"
"19–30 y","800","100","0.66","500","","60","10","12","","0.9","0.9","11","1.1","320","2.0","700","95","8.1","255","34","580","45","6.8"
"31–50 y","800","100","0.66","500","","60","10","12","","0.9","0.9","11","1.1","320","2.0","700","95","8.1","265","34","580","45","6.8"
"51–70 y","1,000","100","0.66","500","","60","10","12","","0.9","0.9","11","1.3","320","2.0","700","95","5","265","34","580","45","6.8"
"> 70 y","1,000","100","0.66","500","","60","10","12","","0.9","0.9","11","1.3","320","2.0","700","95","5","265","34","580","45","6.8"
"Pregnancy","","","","","","","","","","","","","","","","","","","","","","",""
"14–18 y","1,000","135","0.88","530","","66","10","12","","1.2","1.2","14","1.6","520","2.2","785","160","23","335","40","1,055","49","10.5"
"19–30 y","800","135","0.88","550","","70","10","12","","1.2","1.2","14","1.6","520","2.2","800","160","22","290","40","580","49","9.5"
"31–50 y","800","135","0.88","550","","70","10","12","","1.2","1.2","14","1.6","520","2.2","800","160","22","300","40","580","49","9.5"
"Lactation","","","","","","","","","","","","","","","","","","","","","","",""
"14–18 y","1,000","160","1.05","885","","96","10","16","","1.2","1.3","13","1.7","450","2.4","985","209","7","300","35","1,055","59","10.9"
"19–30 y","800","160","1.05","900","","100","10","16","","1.2","1.3","13","1.7","450","2.4","1,000","209","6.5","255","36","580","59","10.4"
"31–50 y","800","160","1.05","900","","100","10","16","","1.2","1.3","13","1.7","450","2.4","1,000","209","6.5","265","36","580","59","10.4"
