"V1","V2","V3","V4","V5","V6","V7","V8"
"1–3 y","1.3*","130","19*","NDc","7*","0.7*","13"
"4–8 y","1.7*","130","25*","ND","10*","0.9*","19"
"Males","","","","","","",""
"9–13 y","2.4*","130","31*","ND","12*","1.2*","34"
"14–18 y","3.3*","130","38*","ND","16*","1.6*","52"
"19–30 y","3.7*","130","38*","ND","17*","1.6*","56"
"31–50 y","3.7*","130","38*","ND","17*","1.6*","56"
"51–70 y","3.7*","130","30*","ND","14*","1.6*","56"
"> 70 y","3.7*","130","30*","ND","14*","1.6*","56"
"Females","","","","","","",""
"9–13 y","2.1*","130","26*","ND","10*","1.0*","34"
"14–18 y","2.3*","130","26*","ND","11*","1.1*","46"
"19–30 y","2.7*","130","25*","ND","12*","1.1*","46"
"31–50 y","2.7*","130","25*","ND","12*","1.1*","46"
"51–70 y","2.7*","130","21*","ND","11*","1.1*","46"
"> 70 y","2.7*","130","21*","ND","11*","1.1*","46"
"Pregnancy","","","","","","",""
"14–18 y","3.0*","175","28*","ND","13*","1.4*","71"
"19–30 y","3.0*","175","28*","ND","13*","1.4*","71"
"31–50 y","3.0*","175","28*","ND","13*","1.4*","71"
"Lactation","","","","","","",""
"14–18","3.8*","210","29*","ND","13*","1.3*","71"
"19–30 y","3.8*","210","29*","ND","13*","1.3*","71"
"31–50 y","3.8*","210","29*","ND","13*","1.3*","71"
