,,YEAR,1961,1961,1961,1962,1962,1962,1963,1963,1963,1964,1964,1964,1965,1965,1965,1966,1966,1966,1967,1967,1967,1968,1968,1968,1969,1969,1969,1970,1970,1970,1971,1971,1971,1972,1972,1972,1973,1973,1973,1974,1974,1974,1975,1975,1975,1976,1976,1976,1977,1977,1977,1978,1978,1978,1979,1979,1979,1980,1980,1980,1981,1981,1981,1982,1982,1982,1983,1983,1983,1984,1984,1984,1985,1985,1985,1986,1986,1986,1987,1987,1987,1988,1988,1988,1989,1989,1989,1990,1990,1990,1991,1991,1991,1992,1992,1992,1993,1993,1993,1994,1994,1994,1995,1995,1995,1996,1996,1996,1997,1997,1997,1998,1998,1998,1999,1999,1999,2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011
,,VALUE,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI
,,UNIT,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day,g/person/day
ISO3,COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALB,Albania,,423.387,416.5999,441.1315,423.8831,417.119,442.2044,*,*,*,*,*,*,*,*,*,423.811,417.6705,437.0947,*,*,*,440.6128,434.0515,452.7616,453.077,446.1303,467.2737,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,456.6511,453.7955,466.4664,490.8241,487.8527,500.7154,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,447.4079,440.2427,460.8795,427.5822,422.1487,441.1659,443.511,437.3265,459.0157,483.0933,473.0849,499.9761,502.5801,489.3337,523.2466,412.4441,408.732,437.2525,436.0826,431.5057,464.8287,435.6677,431.6676,459.3675,434.7633,430.0645,457.1466,439.0849,434.6585,461.468,431.1563,425.5531,455.1605,437.6973,431.6181,462.7497,452.9551,445.7413,479.1832,424.6115,417.1391,452.5941,406.2751,400.1888,434.404,424.7347,417.8951,453.6078,419.9988,411.8721,449.7142,430.5603,420.6186,457.7031,459.174,444.4382,487.0778,470.3572,452.0373,498.7689,489.58,470.2756,518.4155,505.0278,483.8495,534.5042
DZA,Algeria,,313.8964,311.0677,317.1639,312.4209,309.9828,315.1005,308.4163,305.5735,311.0627,307.0888,304.3384,310.1196,313.6304,310.6442,316.7674,309.0851,306.3716,311.9618,324.9849,322.1899,327.8764,338.6126,335.1957,342.1862,335.3861,332.0152,338.9066,325.0698,321.6117,328.6284,336.8563,333.449,340.5144,360.3368,356.8737,363.9378,364.5977,361.3637,368.0197,372.5123,369.2607,376.1543,398.4327,394.9952,402.5533,399.8996,396.5142,403.6242,406.303,403.0781,409.8794,432.6637,429.4261,436.1459,452.8796,449.7659,456.3707,468.9929,465.8388,472.5558,452.5133,449.4248,455.9642,444.1371,440.8754,447.6236,449.269,446.2234,452.8787,442.7568,439.3602,446.3656,462.0739,458.1965,466.379,487.8515,484.0998,491.8745,488.2786,484.9504,492.2506,484.0522,480.7825,487.9036,491.0264,487.8056,494.9968,487.1195,483.5801,491.1629,486.984,483.4735,491.2814,505.623,502.0254,509.9422,504.6496,500.9965,508.8654,491.8533,488.3052,496.229,494.1293,490.2817,498.8255,517.2483,513.2929,521.9824,494.4896,490.7105,498.9254,505.2908,501.2017,509.9836,514.1057,510.0235,518.804,507.7884,503.8078,512.2861,518.5737,514.3849,523.4539,534.8459,530.652,539.8317,555.6626,551.1755,561.0454,550.171,545.5494,555.0936,547.7559,542.8588,553.0177,556.5039,551.2122,562.071,560.8582,555.6314,567.0386,559.3884,554.3686,565.0195,576.6752,570.974,583.1894,579.5044,573.1755,586.8211,576.8257,569.9597,584.6347
AGO,Angola,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,455.3299,445.9343,468.519
ATG,Antigua and Barbuda,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,243.3623,217.1022,272.7165,259.5476,233.3512,288.8805,262.2415,236.4524,291.69,248.4108,222.4517,277.6717,*,*,*,265.3047,235.4089,300.482,263.4752,232.9066,297.4359,265.8086,233.5585,303.184,261.0601,229.2005,296.781,287.6206,250.5301,330.4572,288.9413,256.5581,325.1089,289.8397,258.63,324.2873,286.5696,255.6374,322.3014,298.8285,265.0614,338.6176,289.7561,252.5701,334.7419,291.9526,253.101,338.2035,280.9399,249.4334,315.8717,276.6642,243.9739,313.1022,266.2275,236.9201,298.574,270.7518,243.1231,298.947,272.9134,243.8001,303.6587,276.7449,248.0626,308.1527,271.6695,242.4149,304.8047,263.0914,235.79,292.3739,263.8119,236.6989,293.0216,270.7546,244.1631,299.0856,280.6313,258.4169,301.1784,287.2113,263.2527,310.3485,296.5065,272.1222,321.3387,293.1171,267.3667,319.0586,288.7196,262.7614,315.381,291.5615,264.0214,320.533,287.9632,260.5033,315.7335
ARG,Argentina,,406.2207,365.2078,438.4734,388.3163,346.3498,421.3942,368.0162,325.8463,401.4716,407.8436,364.8047,439.9883,416.1608,373.582,448.5235,382.6899,341.687,417.132,396.4633,356.0996,430.9272,397.3404,356.0095,434.7206,397.635,358.1619,434.0263,421.0994,380.0347,456.0629,414.2669,372.5285,448.6466,398.0799,358.6611,433.8251,374.8302,334.6692,411.8274,412.3223,372.5536,449.2664,397.0353,355.8318,437.7449,384.7593,342.906,427.1634,380.4123,338.8467,419.1592,390.0272,348.8104,427.4421,385.0625,344.2044,422.9338,383.0215,342.5762,420.5187,379.3495,339.7013,415.2658,374.2739,334.5383,409.1004,373.1425,334.9428,409.1831,378.3792,340.7066,413.8255,383.8324,345.4704,420.5636,376.9355,339.9107,410.6868,385.7151,345.1482,425.1535,376.4436,337.7782,413.9328,371.9749,330.4012,414.672,376.6049,337.0045,414.6605,376.4815,337.0398,412.0427,377.6353,338.7609,417.7401,378.2928,340.2342,420.4321,384.0082,344.1531,429.2833,392.3719,351.6216,440.4897,394.1357,352.3497,444.7537,393.7821,351.5971,444.704,393.6548,350.6869,446.5623,404.1457,359.1282,459.9712,410.675,366.7281,464.1122,411.5816,369.0886,462.6733,399.6184,359.4601,443.6885,403.2875,363.9744,444.6273,401.244,362.8585,441.1748,398.5061,356.6561,448.5891,396.2835,353.8265,449.179,391.4899,350.3157,441.2022,393.7291,351.7251,445.427,389.309,347.7234,440.6894,391.2026,349.4504,442.823,393.7881,350.5358,448.1562
