"","closestSp","predVal","lcl_predInt","ucl_predInt"
"Polyodon_spathula",NA,NA,NA,NA
"Psephurus_gladius",NA,NA,NA,NA
"Scaphirhynchus_albus",NA,NA,NA,NA
"Scaphirhynchus_platorynchus",NA,NA,NA,NA
"Scaphirhynchus_suttkusi",NA,NA,NA,NA
"Huso_huso",NA,NA,NA,NA
"Acipenser_dabryanus",NA,NA,NA,NA
"Acipenser_nudiventris",NA,NA,NA,NA
"Acipenser_ruthenus",NA,NA,NA,NA
"Acipenser_gueldenstaedtii",NA,NA,NA,NA
"Acipenser_naccarii",NA,NA,NA,NA
"Acipenser_persicus",NA,NA,NA,NA
"Acipenser_baerii_baerii",NA,NA,NA,NA
"Acipenser_brevirostrum",NA,NA,NA,NA
"Acipenser_fulvescens",NA,NA,NA,NA
"Acipenser_stellatus",NA,NA,NA,NA
"Pseudoscaphirhynchus_hermanni",NA,NA,NA,NA
"Pseudoscaphirhynchus_kaufmanni",NA,NA,NA,NA
"Acipenser_sinensis",NA,NA,NA,NA
"Acipenser_schrenckii",NA,NA,NA,NA
"Acipenser_transmontanus",NA,NA,NA,NA
"Acipenser_medirostris",NA,NA,NA,NA
"Acipenser_mikadoi",NA,NA,NA,NA
"Huso_dauricus",NA,NA,NA,NA
"Acipenser_oxyrinchus_oxyrinchus",NA,NA,NA,NA
"Acipenser_sturio",NA,NA,NA,NA
"Chitala_chitala",NA,NA,NA,NA
"Chitala_ornata",NA,NA,NA,NA
"Notopterus_notopterus",NA,NA,NA,NA
"Xenomystus_nigri",NA,NA,NA,NA
"Arapaima_gigas",NA,NA,NA,NA
"Heterotis_niloticus",NA,NA,NA,NA
"Scleropages_formosus",NA,NA,NA,NA
"Scleropages_jardinii",NA,NA,NA,NA
"Scleropages_leichardti",NA,NA,NA,NA
"Osteoglossum_bicirrhosum",NA,NA,NA,NA
"Osteoglossum_ferreirai",NA,NA,NA,NA
"Pantodon_buchholzi",NA,NA,NA,NA
"Gymnarchus_niloticus",NA,NA,NA,NA
"Myomyrus_macrops",NA,NA,NA,NA
"Mormyrops_nigricans",NA,NA,NA,NA
"Mormyrops_masuianus",NA,NA,NA,NA
"Oxymormyrus_zanclirostris",NA,NA,NA,NA
"Marcusenius_ntemensis",NA,NA,NA,NA
"Paramormyrops_gabonensis",NA,NA,NA,NA
"Paramormyrops_hopkinsi",NA,NA,NA,NA
"Paramormyrops_curvifrons",NA,NA,NA,NA
"Paramormyrops_longicaudatus",NA,NA,NA,NA
"Brienomyrus_niger",NA,NA,NA,NA
"Pollimyrus_marchei",NA,NA,NA,NA
"Ivindomyrus_opdenboschi",NA,NA,NA,NA
"Boulengeromyrus_knoepffleri",NA,NA,NA,NA
"Marcusenius_devosi",NA,NA,NA,NA
"Marcusenius_senegalensis_senegalensis",NA,NA,NA,NA
"Marcusenius_altisambesi",NA,NA,NA,NA
"Marcusenius_macrolepidotus",NA,NA,NA,NA
"Hippopotamyrus_discorhynchus",NA,NA,NA,NA
"Hippopotamyrus_wilverthi",NA,NA,NA,NA
"Marcusenius_moorii",NA,NA,NA,NA
"Campylomormyrus_elephas",NA,NA,NA,NA
"Campylomormyrus_tshokwe",NA,NA,NA,NA
"Campylomormyrus_numenius",NA,NA,NA,NA
"Campylomormyrus_curvirostris",NA,NA,NA,NA
"Campylomormyrus_rhynchophorus",NA,NA,NA,NA
"Campylomormyrus_tamandua",NA,NA,NA,NA
"Gnathonemus_petersii",NA,NA,NA,NA
"Genyomyrus_donnyi",NA,NA,NA,NA
"Marcusenius_greshoffii",NA,NA,NA,NA
"Hippopotamyrus_longilateralis",NA,NA,NA,NA
"Hippopotamyrus_ansorgii",NA,NA,NA,NA
"Hippopotamyrus_szaboi",NA,NA,NA,NA
"Hyperopisus_bebe_bebe",NA,NA,NA,NA
"Brienomyrus_brachyistius",NA,NA,NA,NA
"Hippopotamyrus_pictus",NA,NA,NA,NA
"Isichthys_henryi",NA,NA,NA,NA
"Mormyrus_ovis",NA,NA,NA,NA
"Mormyrus_rume_rume",NA,NA,NA,NA
"Pollimyrus_adspersus",NA,NA,NA,NA
"Pollimyrus_petricolus",NA,NA,NA,NA
"Pollimyrus_isidori_isidori",NA,NA,NA,NA
"Pollimyrus_castelnaui",NA,NA,NA,NA
"Pollimyrus_marianne",NA,NA,NA,NA
"Petrocephalus_grandoculis",NA,NA,NA,NA
"Petrocephalus_sullivani",NA,NA,NA,NA
"Petrocephalus_christyi",NA,NA,NA,NA
"Petrocephalus_sauvagii",NA,NA,NA,NA
"Petrocephalus_bovei_bovei",NA,NA,NA,NA
"Petrocephalus_pallidomaculatus",NA,NA,NA,NA
"Petrocephalus_soudanensis",NA,NA,NA,NA
"Petrocephalus_simus",NA,NA,NA,NA
"Petrocephalus_balayi",NA,NA,NA,NA
"Petrocephalus_binotatus",NA,NA,NA,NA
"Petrocephalus_microphthalmus",NA,NA,NA,NA
"Hiodon_alosoides",NA,NA,NA,NA
"Barbourisia_rufa","Acanthogobius_flavimanus",3.76445398095843,-0.0531364747173347,22.9739108441146
"Gephyroberyx_darwinii","Acanthogobius_flavimanus",3.76445402778605,-0.0531369734976054,22.9739239441401
"Diretmus_argenteus","Acanthogobius_flavimanus",3.76445402778604,-0.0531369734976058,22.97392394414
"Anoplogaster_cornuta","Acanthogobius_flavimanus",3.76445295411879,-0.0531364272952778,22.9738993096635
"Monocentris_japonica","Acanthogobius_flavimanus",3.7644539644445,-0.0531366389475556,22.9739148361172
"Hoplostethus_atlanticus","Acanthogobius_flavimanus",3.7644539644445,-0.0531366389475556,22.9739148361172
"Hoplostethus_mediterraneus_mediterraneus","Acanthogobius_flavimanus",3.76445402076191,-0.0531368986805912,22.9739219791361
"Photoblepharon_palpebratum","Acanthogobius_flavimanus",3.76445393400656,-0.0531363147403486,22.9739063211044
"Aulotrachichthys_prosthemius","Acanthogobius_flavimanus",3.76445397146864,-0.0531367137645787,22.9739168011203
"Melamphaes_suborbitalis","Beryx_splendens",3.09979086184255,0.11334813118212,14.0970614133076
"Melamphaes_lugubris","Beryx_splendens",3.09780203796782,0.113935674884267,14.074462485563
"Melamphaes_parvus","Beryx_splendens",3.09780203796782,0.113935674884267,14.074462485563
"Poromitra_crassiceps","Beryx_splendens",3.09780183151312,0.113935959842587,14.0744571103757
"Scopelogadus_mizolepis_bispinosus","Beryx_splendens",3.09780197064565,0.113935767805446,14.0744607327845
"Scopelogadus_beanii","Beryx_splendens",3.09780197064565,0.113935767805446,14.0744607327845
"Sio_nordenskjoldii","Beryx_splendens",3.0978021008473,0.113935724471149,14.0744622771486
"Centroberyx_lineatus","Beryx_splendens",2.70957177701702,0.266379321660394,9.86635144262997
"Centroberyx_australis","Beryx_splendens",2.70957162446098,0.266379360262021,9.86635021764639
"Centroberyx_gerrardi","Beryx_splendens",2.70956315365144,0.266381509698032,9.86628214763631
"Centroberyx_affinis","Beryx_splendens",2.70957177701702,0.266379321660394,9.86635144262996
"Beryx_decadactylus","Beryx_splendens",2.61178967313392,0.322252067817338,8.86576233114952
"Beryx_mollis","Beryx_splendens",2.53825990276003,0.371747591918789,8.12652095271223
"Scopeloberyx_robustus","Acanthogobius_flavimanus",3.8128222009315,-0.0256750025908625,22.7736459593805
"Myripristis_jacobus","Acanthogobius_flavimanus",3.81281997722999,-0.0256780497220483,22.7736983413092
"Myripristis_violacea","Acanthogobius_flavimanus",3.81282356695424,-0.0256758374000388,22.7736798241968
"Myripristis_berndti","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Myripristis_botche","Acanthogobius_flavimanus",3.81282356695424,-0.0256758374000388,22.7736798241968
"Myripristis_kuntee","Acanthogobius_flavimanus",3.81282356695424,-0.0256758374000389,22.7736798241968
"Sargocentron_microstoma","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Sargocentron_diadema","Acanthogobius_flavimanus",3.81282356695424,-0.0256758374000388,22.7736798241968
"Sargocentron_xantherythrum","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Sargocentron_cornutum","Acanthogobius_flavimanus",3.81282356695424,-0.0256758374000388,22.7736798241968
"Sargocentron_vexillarium","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Sargocentron_punctatissimum","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Sargocentron_caudimaculatum","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Sargocentron_coruscum","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Neoniphon_sammara","Acanthogobius_flavimanus",3.81282356695424,-0.0256758374000388,22.7736798241968
"Neoniphon_argenteus","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Holocentrus_adscensionis","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Neoniphon_aurolineatus","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Sargocentron_spiniferum","Acanthogobius_flavimanus",3.81282356695424,-0.0256758374000388,22.7736798241968
"Sargocentron_tiere","Acanthogobius_flavimanus",3.81282362732064,-0.0256761023975145,22.7736868865616
"Cataetyx_rubrirostris","Genypterus_capensis",3.02408521953451,-0.0743524380830156,16.4939820729829
"Brosmophycis_marginata","Genypterus_capensis",3.02408510223371,-0.07435221143088,16.4939767695562
"Diancistrus_fuscus","Genypterus_capensis",3.0240847671501,-0.0743521488975977,16.4939726742995
"Cataetyx_laticeps","Genypterus_capensis",3.0240852195345,-0.0743524380830157,16.4939820729829
"Brotula_barbata","Genypterus_capensis",2.66120987808048,-0.113979559240896,14.1288358086521
"Genypterus_maculatus","Genypterus_capensis",2.50440871861193,-0.131211149210009,13.135633135619
"Ophidion_scrippsae","Genypterus_capensis",1.6979927182862,-0.219837184616047,8.33031485785819
"Genypterus_blacodes","Genypterus_capensis",0.992220188602592,-0.291583960546799,4.60255705522876
"Chilara_taylori","Genypterus_capensis",1.33330864213407,-0.258524666773453,6.34256282776988
"Lepophidium_profundorum","Genypterus_capensis",1.41925023360506,-0.249605929025662,6.7995974637682
"Brotula_multibarbata","Genypterus_capensis",2.61813250502126,-0.11870815805496,13.8541972146246
"Lamprogrammus_shcherbachevi","Genypterus_capensis",2.61813236587683,-0.118707954289602,13.8541926376438
"Brotulotaenia_nigra","Genypterus_capensis",2.61813250502126,-0.11870815805496,13.8541972146246
"Neobythites_stigmosus","Genypterus_capensis",2.61813236587683,-0.118707954289602,13.8541926376438
"Petrotyx_sanguineus","Genypterus_capensis",2.61813250502126,-0.11870815805496,13.8541972146246
"Carapus_boraborensis","Genypterus_capensis",3.17888942280678,-0.0575775392603157,17.5300303585082
"Echiodon_cryomargarites","Genypterus_capensis",3.17888953081278,-0.0575777746015275,17.5300359436589
"Latridopsis_ciliaris","Euthynnus_affinis",4.11376063759478,0.231398836056359,20.2364565345561
"Latridopsis_forsteri","Euthynnus_affinis",4.11376063759478,0.231398836056359,20.2364565345561
"Latris_lineata","Euthynnus_affinis",4.11376059450267,0.231399158794585,20.2364506107728
"Mendosoma_lineatum","Euthynnus_affinis",4.11376059450267,0.231399158794585,20.2364506107728
"Stromateus_stellatus","Pampus_argenteus",4.72832057431751,0.614517460571463,19.3241261884742
"Peprilus_medius","Pampus_argenteus",4.72832057327553,0.6145178418349,19.3241213816002
"Peprilus_simillimus","Pampus_argenteus",4.72832057327553,0.6145178418349,19.3241213816002
"Peprilus_triacanthus","Pampus_argenteus",4.72832057506641,0.614517422678196,19.3241266708025
"Pampus_minor","Pampus_argenteus",4.80262915879255,0.978554622515099,16.0177283817761
"Pampus_cinereus","Pampus_argenteus",4.78902647946667,0.902013573002339,16.619657428136
"Pampus_punctatissimus","Pampus_argenteus",4.78902647946667,0.90201357300234,16.6196574281361
"Pampus_chinensis","Pampus_argenteus",4.78902647946667,0.902013573002339,16.619657428136
"Stromateus_fiatola","Pampus_argenteus",4.72788173394538,0.612705212688442,19.3438476541983
"Schedophilus_medusophagus","Seriolella_punctata",3.40913288374114,0.640849568424322,10.8477971171701
"Seriolella_caerulea","Seriolella_punctata",3.40236208994395,0.651208885012179,10.7373350803116
"Seriolella_brama","Seriolella_punctata",3.40235086438142,0.651210532962927,10.7372635083324
"Schedophilus_velaini","Seriolella_punctata",3.46581470742612,0.56073536692765,11.7782719759358
"Hyperoglyphe_japonica","Seriolella_punctata",3.46581470742611,0.560735366927649,11.7782719759358
"Centrolophus_niger","Seriolella_punctata",3.46581460269531,0.560735721152817,11.7782684764309
"Icichthys_lockingtoni","Seriolella_punctata",3.46581460269531,0.560735721152817,11.7782684764309
"Schedophilus_ovalis","Seriolella_punctata",3.46581470742612,0.56073536692765,11.7782719759358
"Pomatomus_saltatrix","Psenopsis_anomala",4.27933959655539,0.495664059898472,17.6348173517318
"Scombrolabrax_heterolepis","Euthynnus_affinis",4.68334817205863,0.492427078573484,20.6428976052325
"Tetragonurus_cuvieri","Euthynnus_affinis",4.71294575635934,0.557754775464179,19.9517889010347
"Icosteus_aenigmaticus","Euthynnus_affinis",4.71294574544783,0.557755180544324,19.9517833726773
"Gasterochisma_melampus","Euthynnus_affinis",4.5798760990604,0.595840499247493,18.5101059883785
"Allothunnus_fallai","Euthynnus_affinis",4.97936363824951,1.02768396832749,16.6323283494275
"Cybiosarda_elegans","Thunnus_alalunga",5.62020892508111,1.32692356386515,17.8348112900298
"Thunnus_atlanticus","Thunnus_albacares",5.71178607429774,1.63107060405157,16.1215748592104
"Thunnus_tonggol","Thunnus_albacares",5.7124167430518,1.63407419939099,16.1052655019435
"Thunnus_maccoyii","Thunnus_albacares",5.70971252934937,1.62123715519035,16.1751884934801
"Sarda_chiliensis","Euthynnus_affinis",5.41665132610351,1.27556893584411,17.0936791640253
"Auxis_rochei","Euthynnus_affinis",5.48916058759074,1.4936142417188,15.8868161029254
"Auxis_thazard","Euthynnus_affinis",5.48916058839528,1.49361486273533,15.8868119015747
"Euthynnus_alletteratus","Euthynnus_affinis",5.35078663956519,1.49713499042157,15.1515060643441
"Sarda_australis","Euthynnus_affinis",5.29189484649138,1.28376959589304,16.3344722823602
"Sarda_orientalis","Euthynnus_affinis",5.29189484649138,1.28376959589304,16.3344722823602
"Sarda_sarda","Euthynnus_affinis",5.29189481300766,1.28377015369552,16.3344678639805
