"species_orig","species","comm_name","major_group","isscaap","genus_food_name","calcium_mg","calories_kcal","carbohydrates_g","copper_mg","dietary_fiber_g","fat_g","folate_mcg","iron_mg","magnesium_mg","monounsaturated_fatty_acids_g","niacin_mg","phosphorus_mg","polyunsaturated_fatty_acids_g","potassium_mg","protein_g","riboflavin_mg","saturated_fatty_acids_g","sodium_mg","thiamin_mg","vitamin_a_mcg_rae","vitamin_b6_mg","vitamin_c_mg","zinc_mg"
"Ablennes hians","Ablennes hians","Flat needlefish","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"Microgadus tomcod","Microgadus tomcod","Atlantic tomcod","Pisces","Cods, hakes, haddocks","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"Micromesistius australis","Micromesistius australis","Southern blue whiting","Pisces","Cods, hakes, haddocks","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"Micromesistius poutassou","Micromesistius poutassou","Blue whiting(=Poutassou)","Pisces","Cods, hakes, haddocks","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"Micropogonias furnieri","Micropogonias furnieri","Whitemouth croaker","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"Micropogonias undulatus","Micropogonias undulatus","Atlantic croaker","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"Microstomus kitt","Microstomus kitt","Lemon sole","Pisces","Flounders, halibuts, soles","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"Microstomus pacificus","Microstomus pacificus","Dover sole","Pisces","Flounders, halibuts, soles","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"Miichthys miiuy","Miichthys miiuy","Mi-iuy (brown) croaker","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"Molva dypterygia","Molva dypterygia","Blue ling","Pisces","Cods, hakes, haddocks","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
